Inserted 5109 records into 'uplinks'.

--- 1. Top 10 devices with highest number of uplinks ---
Device: device-4547, Uplinks: 4
Device: device-4786, Uplinks: 4
Device: device-4604, Uplinks: 4
Device: device-1912, Uplinks: 4
Device: device-1321, Uplinks: 4
Device: device-3413, Uplinks: 4
Device: device-1275, Uplinks: 4
Device: device-1920, Uplinks: 4
Device: device-0626, Uplinks: 4
Device: device-4852, Uplinks: 4

--- 2. Average RSSI and SNR per device (Sorted by lowest RSSI) ---
Device: device-4880, Avg RSSI: -120.00, Avg SNR: 7.57
Gateway: long-any-later, Avg Temp: -4.63, Avg Humidity: 53.46
Gateway: drug-surface-score, Avg Temp: -0.92, Avg Humidity: 28.74
Gateway: contain-election-in, Avg Temp: 38.46, Avg Humidity: 67.76
Gateway: price-daughter, Avg Temp: 7.28, Avg Humidity: 20.28
Gateway: ground-make-from, Avg Temp: -5.56, Avg Humidity: 46.63
Gateway: nothing-leg-culture, Avg Temp: -7.35, Avg Humidity: 29.84
Gateway: true-involve, Avg Temp: 24.56, Avg Humidity: 54.82
Gateway: what-student-try, Avg Temp: 9.87, Avg Humidity: 87.38
Gateway: unit-across-allow, Avg Temp: -4.55, Avg Humidity: 10.24
Gateway: many-eat-race, Avg Temp: 28.95, Avg Humidity: 41.75
Gateway: support-nature, Avg Temp: 35.74, Avg Humidity: 27.33
Gateway: similar-already, Avg Temp: 4.35, Avg Humidity: 55.72
Gateway: somebody-south, Avg Temp: 5.49, Avg Humidity: 48.85
Gateway: necessary-news, Avg Temp: -3.98, Avg Humidity: 65.74
Gateway: career-green-late, Avg Temp: 29.35, Avg Humidity: 62.92
Gateway: whether-arm-run, Avg Temp: 2.81, Avg Humidity: 64.36
Gateway: area-ability-back, Avg Temp: 4.58, Avg Humidity: 85.00
Gateway: player-cup-economy, Avg Temp: 22.28, Avg Humidity: 12.81
Gateway: mr-yard-explain, Avg Temp: 43.01, Avg Humidity: 28.58
Gateway: trouble-him, Avg Temp: 16.59, Avg Humidity: 26.72
Gateway: research-history, Avg Temp: 45.95, Avg Humidity: 89.20
Gateway: congress-morning, Avg Temp: 41.11, Avg Humidity: 82.17
Gateway: job-fill-card, Avg Temp: 41.33, Avg Humidity: 70.45
Gateway: beat-much-force, Avg Temp: 18.36, Avg Humidity: 80.28
Gateway: forget-issue, Avg Temp: 6.91, Avg Humidity: 47.27
Gateway: the-mean-character, Avg Temp: -4.67, Avg Humidity: 71.30
Gateway: teach-side-consumer, Avg Temp: 30.89, Avg Humidity: 83.83
Gateway: improve-these-break, Avg Temp: 24.77, Avg Humidity: 73.09
Gateway: soon-although-exist, Avg Temp: 13.04, Avg Humidity: 72.40
Gateway: ask-form-decision, Avg Temp: 43.09, Avg Humidity: 73.57
Gateway: rate-air-method, Avg Temp: 18.60, Avg Humidity: 30.94
Gateway: environment-manage, Avg Temp: 23.73, Avg Humidity: 30.78
Gateway: six-apply-memory, Avg Temp: -3.19, Avg Humidity: 34.94
Gateway: responsibility, Avg Temp: 20.64, Avg Humidity: 48.96
Gateway: ground-measure, Avg Temp: 29.65, Avg Humidity: 26.77
Gateway: least-project, Avg Temp: 9.09, Avg Humidity: 28.12
Gateway: road-so-generation, Avg Temp: 17.17, Avg Humidity: 11.02
Gateway: game-enough, Avg Temp: 34.15, Avg Humidity: 49.12
Gateway: country-yard-car, Avg Temp: 40.11, Avg Humidity: 72.98
Gateway: movement-mrs, Avg Temp: 41.27, Avg Humidity: 70.32
Gateway: official-main, Avg Temp: 33.52, Avg Humidity: 36.55
Gateway: out-southern, Avg Temp: 44.98, Avg Humidity: 70.31
Gateway: color-leg-check, Avg Temp: 17.44, Avg Humidity: 51.21
Gateway: cell-food-little, Avg Temp: -8.83, Avg Humidity: 76.37
Gateway: throughout-wall, Avg Temp: 22.73, Avg Humidity: 59.73
Gateway: campaign-total-just, Avg Temp: 22.58, Avg Humidity: 47.35
Gateway: daughter, Avg Temp: 6.68, Avg Humidity: 78.06
Gateway: brother-tax, Avg Temp: 40.98, Avg Humidity: 15.37
Gateway: nothing-be-near, Avg Temp: 7.50, Avg Humidity: 29.89
Gateway: many-help-feeling, Avg Temp: 45.31, Avg Humidity: 47.40
Gateway: public-talk-back, Avg Temp: 7.17, Avg Humidity: 22.56
Gateway: head-own-father, Avg Temp: 40.67, Avg Humidity: 72.43
Gateway: old-push-consumer, Avg Temp: 15.56, Avg Humidity: 17.27
Gateway: political-yard, Avg Temp: -7.94, Avg Humidity: 72.00
Gateway: home-special-it-ok, Avg Temp: -6.70, Avg Humidity: 82.19
Gateway: agree-husband-might, Avg Temp: 1.47, Avg Humidity: 14.36
Gateway: goal-better-dinner, Avg Temp: 42.77, Avg Humidity: 41.81
Gateway: travel-identify-bed, Avg Temp: 27.88, Avg Humidity: 65.90
Gateway: mrs-maybe-act-heart, Avg Temp: 22.70, Avg Humidity: 73.48
Gateway: difference-it, Avg Temp: -9.05, Avg Humidity: 12.64
Gateway: sure-film, Avg Temp: 22.16, Avg Humidity: 40.78
Gateway: usually-bed, Avg Temp: -2.20, Avg Humidity: 29.50
Gateway: you-thing-soldier, Avg Temp: 49.93, Avg Humidity: 43.38
Gateway: music-age-task-end, Avg Temp: 17.62, Avg Humidity: 37.18
Gateway: eight-wide-final, Avg Temp: 22.20, Avg Humidity: 87.16
Gateway: create-son, Avg Temp: 4.59, Avg Humidity: 67.71
Gateway: must-including-able, Avg Temp: 3.21, Avg Humidity: 13.17
Gateway: agreement-serve, Avg Temp: 23.90, Avg Humidity: 21.67
Gateway: coach-detail-market, Avg Temp: -5.63, Avg Humidity: 60.30
Gateway: physical-east, Avg Temp: 46.40, Avg Humidity: 15.49
Gateway: natural-system, Avg Temp: -7.49, Avg Humidity: 65.27
Gateway: provide-fire-per, Avg Temp: 6.65, Avg Humidity: 45.90
Gateway: next-modern-listen, Avg Temp: 32.09, Avg Humidity: 62.12
Gateway: either-subject-hand, Avg Temp: 38.93, Avg Humidity: 89.26
Gateway: indicate-myself, Avg Temp: 17.36, Avg Humidity: 54.57
Gateway: finish-industry, Avg Temp: 34.67, Avg Humidity: 17.35
Gateway: want-data-southern, Avg Temp: 31.99, Avg Humidity: 18.64
Gateway: trip-by-window-size, Avg Temp: 27.79, Avg Humidity: 15.57
Gateway: make-task-discover, Avg Temp: 19.55, Avg Humidity: 84.72
Gateway: believe-however-age, Avg Temp: 16.11, Avg Humidity: 17.08
Gateway: ability-magazine, Avg Temp: 41.42, Avg Humidity: 68.39
Gateway: direction-place, Avg Temp: 35.53, Avg Humidity: 17.84
Gateway: catch-idea-ground, Avg Temp: 36.41, Avg Humidity: 66.94
Gateway: on-never-plan, Avg Temp: 45.15, Avg Humidity: 87.86
Gateway: attorney-special, Avg Temp: 35.88, Avg Humidity: 79.67
Gateway: side-painting, Avg Temp: 16.57, Avg Humidity: 21.23
Gateway: financial-affect, Avg Temp: 27.81, Avg Humidity: 79.75
Gateway: action-real-cover, Avg Temp: 6.26, Avg Humidity: 47.31
Gateway: cover-writer, Avg Temp: 8.34, Avg Humidity: 53.34
Gateway: continue-deal, Avg Temp: 1.05, Avg Humidity: 89.86
Gateway: perform-describe, Avg Temp: 24.33, Avg Humidity: 19.49
Gateway: follow-wrong, Avg Temp: 39.90, Avg Humidity: 36.86
Gateway: whether-couple-high, Avg Temp: 22.94, Avg Humidity: 76.19
Gateway: radio-red-card, Avg Temp: 43.70, Avg Humidity: 24.85
Gateway: city-if-explain-all, Avg Temp: 10.59, Avg Humidity: 65.16
Gateway: physical-series, Avg Temp: -5.51, Avg Humidity: 81.69
Gateway: poor-pick-scientist, Avg Temp: 4.06, Avg Humidity: 54.39
Gateway: listen-economic, Avg Temp: 1.56, Avg Humidity: 55.29
Gateway: avoid-worry, Avg Temp: 11.80, Avg Humidity: 76.76
Gateway: child-federal-full, Avg Temp: 45.10, Avg Humidity: 23.02
Gateway: increase-there, Avg Temp: 35.09, Avg Humidity: 76.70
Gateway: dream-dog-whatever, Avg Temp: 27.70, Avg Humidity: 35.09
Gateway: space-two, Avg Temp: 39.56, Avg Humidity: 44.10
Gateway: begin-such-late, Avg Temp: 2.34, Avg Humidity: 89.14
Gateway: beyond-beyond, Avg Temp: 4.19, Avg Humidity: 76.04
Gateway: be-know-throw-bag, Avg Temp: 18.94, Avg Humidity: 87.67
Gateway: financial-think, Avg Temp: 37.44, Avg Humidity: 41.79
Gateway: rule-sit-way-toward, Avg Temp: 8.71, Avg Humidity: 27.48
Gateway: example-tax-fact, Avg Temp: 2.61, Avg Humidity: 27.12
Gateway: experience-factor, Avg Temp: 2.48, Avg Humidity: 84.01
Gateway: boy-see-whole, Avg Temp: 46.95, Avg Humidity: 60.43
Gateway: sense-trip-campaign, Avg Temp: 37.48, Avg Humidity: 82.88
Gateway: pressure-process, Avg Temp: -6.73, Avg Humidity: 16.64
Gateway: opportunity, Avg Temp: 37.09, Avg Humidity: 48.55
Gateway: art-color-trial, Avg Temp: -3.08, Avg Humidity: 30.74
Gateway: coach-sign-serve, Avg Temp: 41.13, Avg Humidity: 67.08
Gateway: according-matter, Avg Temp: 14.44, Avg Humidity: 47.63
Gateway: perform-sing-call, Avg Temp: 9.17, Avg Humidity: 56.81
Gateway: focus-environment, Avg Temp: 16.34, Avg Humidity: 53.51
Gateway: not-strong-drive, Avg Temp: 29.12, Avg Humidity: 80.02
Gateway: election-maybe, Avg Temp: 21.20, Avg Humidity: 72.37
Gateway: partner-out, Avg Temp: 48.12, Avg Humidity: 61.88
Gateway: he-move-story-need, Avg Temp: 46.97, Avg Humidity: 55.96
Gateway: professional-bad, Avg Temp: 49.91, Avg Humidity: 14.49
Gateway: defense-stay-action, Avg Temp: 23.32, Avg Humidity: 42.24
Gateway: great-true, Avg Temp: -3.46, Avg Humidity: 55.81
Gateway: share-choose, Avg Temp: 37.93, Avg Humidity: 11.12
Gateway: reason-direction, Avg Temp: 46.35, Avg Humidity: 32.49
Gateway: network-course-fast, Avg Temp: 16.23, Avg Humidity: 47.21
Gateway: loss-lawyer-air, Avg Temp: -3.91, Avg Humidity: 88.19
Gateway: listen-class-radio, Avg Temp: 33.42, Avg Humidity: 27.64
Gateway: similar-despite, Avg Temp: 4.17, Avg Humidity: 65.89
Gateway: happy-process, Avg Temp: 31.43, Avg Humidity: 52.35
Gateway: campaign-our, Avg Temp: 25.00, Avg Humidity: 74.36
Gateway: myself-him-game, Avg Temp: 38.90, Avg Humidity: 39.03
Gateway: at-prevent-total, Avg Temp: 12.44, Avg Humidity: 89.46
Gateway: republican-ten-whom, Avg Temp: -7.04, Avg Humidity: 14.25
Gateway: government, Avg Temp: 2.76, Avg Humidity: 36.64
Gateway: everything-believe, Avg Temp: 30.66, Avg Humidity: 66.94
Gateway: federal-culture, Avg Temp: 43.47, Avg Humidity: 42.16
Gateway: wait-their-than, Avg Temp: 12.14, Avg Humidity: 45.73
Gateway: too-why-whether, Avg Temp: 48.74, Avg Humidity: 60.68
Gateway: mention-rule-choice, Avg Temp: -6.30, Avg Humidity: 69.36
Gateway: teach-again-rock, Avg Temp: 23.70, Avg Humidity: 12.59
Gateway: bag-crime-project, Avg Temp: 34.63, Avg Humidity: 50.68
Gateway: for-economy-tree, Avg Temp: 47.71, Avg Humidity: 19.36
Gateway: office-fly-let-left, Avg Temp: 44.66, Avg Humidity: 27.77
Gateway: senior-mouth-by, Avg Temp: 21.74, Avg Humidity: 36.49
Gateway: even-painting-to, Avg Temp: 27.80, Avg Humidity: 20.95
Gateway: large-water, Avg Temp: -9.56, Avg Humidity: 38.06
Gateway: police-republican, Avg Temp: 31.95, Avg Humidity: 72.68
Gateway: various-team-number, Avg Temp: 14.41, Avg Humidity: 56.71
Gateway: book-leader-avoid, Avg Temp: 24.55, Avg Humidity: 46.10
Gateway: discussion-where, Avg Temp: -2.67, Avg Humidity: 56.44
Gateway: stay-or-difficult, Avg Temp: 2.88, Avg Humidity: 71.30
Gateway: how-less-full-full, Avg Temp: 30.84, Avg Humidity: 70.82
Gateway: place-throw-once, Avg Temp: -4.05, Avg Humidity: 39.05
Gateway: person-ask-cost, Avg Temp: 10.70, Avg Humidity: 25.89
Gateway: fight-agreement, Avg Temp: 26.76, Avg Humidity: 14.64
Gateway: plan-check-push, Avg Temp: -9.86, Avg Humidity: 34.57
Gateway: money-significant, Avg Temp: 28.92, Avg Humidity: 83.51
Gateway: unit-kind-authority, Avg Temp: 41.57, Avg Humidity: 35.88
Gateway: minute-capital, Avg Temp: 34.05, Avg Humidity: 45.77
Gateway: bad-painting-become, Avg Temp: 12.80, Avg Humidity: 71.09
Gateway: around-everyone, Avg Temp: -1.29, Avg Humidity: 54.76
Gateway: government-return, Avg Temp: 47.18, Avg Humidity: 88.10
Gateway: data-seat-soldier, Avg Temp: -2.23, Avg Humidity: 23.79
Gateway: blood-boy-hundred, Avg Temp: -9.57, Avg Humidity: 71.55
Gateway: left-include-system, Avg Temp: 38.02, Avg Humidity: 46.66
Gateway: discuss-site, Avg Temp: -3.32, Avg Humidity: 11.76
Gateway: great-economy-who, Avg Temp: 1.50, Avg Humidity: 52.58
Gateway: computer-according, Avg Temp: 17.15, Avg Humidity: 77.01
Gateway: community-type, Avg Temp: 34.54, Avg Humidity: 40.67
Gateway: cultural-now-north, Avg Temp: 39.20, Avg Humidity: 78.14
Gateway: i-candidate-seek, Avg Temp: 12.80, Avg Humidity: 55.78
Gateway: knowledge-item, Avg Temp: 41.24, Avg Humidity: 46.87
Gateway: decade-term-far, Avg Temp: 20.01, Avg Humidity: 36.97
Gateway: hold-office-future, Avg Temp: 37.79, Avg Humidity: 75.84
Gateway: more-tax-first, Avg Temp: 24.16, Avg Humidity: 29.57
Gateway: company-figure, Avg Temp: -7.65, Avg Humidity: 71.42
Gateway: language-second-i, Avg Temp: 19.24, Avg Humidity: 33.88
Gateway: consider-street, Avg Temp: 37.90, Avg Humidity: 17.56
Gateway: yes-democratic, Avg Temp: 19.26, Avg Humidity: 16.42
Gateway: receive-air-rather, Avg Temp: 47.89, Avg Humidity: 19.89
Gateway: lay-apply-six, Avg Temp: 11.28, Avg Humidity: 38.68
Gateway: nothing-traditional, Avg Temp: 7.53, Avg Humidity: 23.32
Gateway: call-until-thousand, Avg Temp: 12.37, Avg Humidity: 18.22
Gateway: live-then-ten, Avg Temp: -0.64, Avg Humidity: 77.82
Gateway: simple-almost, Avg Temp: 14.22, Avg Humidity: 69.61
Gateway: also-morning-trial, Avg Temp: 43.09, Avg Humidity: 29.90
Gateway: sense-indicate-such, Avg Temp: 23.83, Avg Humidity: 41.47
Gateway: someone-light, Avg Temp: 47.10, Avg Humidity: 70.96
Gateway: coach-themselves, Avg Temp: 2.09, Avg Humidity: 38.74
Gateway: play-shake-public, Avg Temp: 11.56, Avg Humidity: 50.26
Gateway: such-tough-minute, Avg Temp: 26.86, Avg Humidity: 60.84
Gateway: remember-community, Avg Temp: 21.97, Avg Humidity: 72.25
Gateway: mission-production, Avg Temp: 12.77, Avg Humidity: 29.42
Gateway: source-phone, Avg Temp: 6.40, Avg Humidity: 79.56
Gateway: degree-page-paper, Avg Temp: -5.06, Avg Humidity: 58.02
Gateway: space-reflect, Avg Temp: 11.72, Avg Humidity: 56.34
Gateway: paper-teacher-want, Avg Temp: 32.46, Avg Humidity: 10.68
Gateway: all-ready-lot, Avg Temp: 29.66, Avg Humidity: 23.77
Gateway: physical-happy-hour, Avg Temp: 9.87, Avg Humidity: 24.69
Gateway: case-still-short, Avg Temp: -0.42, Avg Humidity: 64.61
Gateway: control-identify, Avg Temp: 1.19, Avg Humidity: 26.80
Gateway: program-win-them, Avg Temp: 41.71, Avg Humidity: 53.86
Gateway: with-interesting, Avg Temp: 47.23, Avg Humidity: 35.48
Gateway: may-probably-my, Avg Temp: -0.72, Avg Humidity: 28.61
Gateway: test-smile-value, Avg Temp: 6.31, Avg Humidity: 30.47
Gateway: mother-just-however, Avg Temp: 21.50, Avg Humidity: 21.77
Gateway: face-series, Avg Temp: 4.90, Avg Humidity: 74.37
Gateway: sound-technology, Avg Temp: 7.33, Avg Humidity: 57.51
Gateway: size-note-try-easy, Avg Temp: 43.38, Avg Humidity: 15.31
Gateway: stage-instead-data, Avg Temp: 38.41, Avg Humidity: 36.98
Gateway: way-decade-argue, Avg Temp: 33.32, Avg Humidity: 75.37
Gateway: run-mind-view, Avg Temp: 33.10, Avg Humidity: 49.05
Gateway: last-officer, Avg Temp: 8.62, Avg Humidity: 51.76
Gateway: paper-significant, Avg Temp: 1.10, Avg Humidity: 81.53
Gateway: note-forget-stuff, Avg Temp: -6.80, Avg Humidity: 12.68
Gateway: easy-ability-police, Avg Temp: 25.73, Avg Humidity: 85.84
Gateway: deal-rate-listen, Avg Temp: 17.53, Avg Humidity: 28.49
Gateway: above-arm-house, Avg Temp: 28.85, Avg Humidity: 68.01
Gateway: article-end-great, Avg Temp: 16.50, Avg Humidity: 35.51
Gateway: smile-star-current, Avg Temp: 25.06, Avg Humidity: 34.17
Gateway: too-dog-hospital, Avg Temp: 32.33, Avg Humidity: 57.79
Gateway: speech-behavior, Avg Temp: 40.10, Avg Humidity: 42.74
Gateway: beautiful-first, Avg Temp: 39.30, Avg Humidity: 51.39
Gateway: window-deal-others, Avg Temp: 19.10, Avg Humidity: 37.35
Gateway: peace-trade-parent, Avg Temp: 49.51, Avg Humidity: 18.81
Gateway: near-station-health, Avg Temp: 41.02, Avg Humidity: 77.87
Gateway: suddenly-team, Avg Temp: 29.28, Avg Humidity: 18.70
Gateway: age-quite-control, Avg Temp: 25.06, Avg Humidity: 71.76
Gateway: outside-player-wind, Avg Temp: 8.40, Avg Humidity: 52.70
Gateway: form-career-instead, Avg Temp: 22.97, Avg Humidity: 40.48
Gateway: performance-clearly, Avg Temp: 42.43, Avg Humidity: 20.93
Gateway: inside-board-even, Avg Temp: 10.05, Avg Humidity: 40.01
Gateway: its-conference-give, Avg Temp: 14.25, Avg Humidity: 36.01
Gateway: pass-issue-key-ago, Avg Temp: 48.99, Avg Humidity: 20.69
Gateway: appear-new-get, Avg Temp: 37.33, Avg Humidity: 75.96
Gateway: note-major-both, Avg Temp: 10.09, Avg Humidity: 67.31
Gateway: region-hundred, Avg Temp: 13.18, Avg Humidity: 46.86
Gateway: return-produce, Avg Temp: -5.44, Avg Humidity: 65.68
Gateway: area-as-which-half, Avg Temp: 38.53, Avg Humidity: 88.95
Gateway: place-argue-never, Avg Temp: 8.23, Avg Humidity: 60.85
Gateway: truth-ten-beyond, Avg Temp: 2.99, Avg Humidity: 16.37
Gateway: pm-green-section, Avg Temp: 1.41, Avg Humidity: 46.69
Gateway: you-where-office, Avg Temp: 30.92, Avg Humidity: 85.84
Gateway: less-alone-day-task, Avg Temp: 20.14, Avg Humidity: 81.62
Gateway: parent-walk-example, Avg Temp: 11.75, Avg Humidity: 22.13
Gateway: find-capital-report, Avg Temp: -3.07, Avg Humidity: 60.58
Gateway: president-increase, Avg Temp: 16.81, Avg Humidity: 81.56
Gateway: science-site-race, Avg Temp: 43.45, Avg Humidity: 49.07
Gateway: loss-father-wide, Avg Temp: 8.53, Avg Humidity: 89.78
Gateway: each-data-discover, Avg Temp: 18.72, Avg Humidity: 25.11
Gateway: concern-exist, Avg Temp: 7.29, Avg Humidity: 46.85
Gateway: clear-machine, Avg Temp: 48.30, Avg Humidity: 67.67
Gateway: wall-condition-sit, Avg Temp: 35.09, Avg Humidity: 69.34
Gateway: little-perhaps, Avg Temp: 4.43, Avg Humidity: 10.73
Gateway: heavy-mouth-you, Avg Temp: 11.85, Avg Humidity: 50.75
Gateway: deal-recognize-wife, Avg Temp: -1.61, Avg Humidity: 48.81
Gateway: center-work-same, Avg Temp: 6.27, Avg Humidity: 24.20
Gateway: determine-talk, Avg Temp: 0.78, Avg Humidity: 78.95
Gateway: minute-far-figure, Avg Temp: 0.09, Avg Humidity: 24.11
Gateway: democrat-unit-court, Avg Temp: -2.95, Avg Humidity: 78.24
Gateway: join-economic, Avg Temp: 35.08, Avg Humidity: 65.66
Gateway: themselves-city-try, Avg Temp: 47.60, Avg Humidity: 26.27
Gateway: have-training, Avg Temp: 22.96, Avg Humidity: 45.57
Gateway: sea-second-maintain, Avg Temp: 35.83, Avg Humidity: 32.07
Gateway: up-mouth-beyond, Avg Temp: 39.36, Avg Humidity: 46.90
Gateway: game-whose-color, Avg Temp: 25.77, Avg Humidity: 75.29
Gateway: mouth-pull-front, Avg Temp: 32.12, Avg Humidity: 63.78
Gateway: somebody-common, Avg Temp: -9.63, Avg Humidity: 71.77
Gateway: difference-tree-all, Avg Temp: -0.77, Avg Humidity: 76.02
Gateway: take-admit-consumer, Avg Temp: 21.90, Avg Humidity: 55.37
Gateway: better-direction, Avg Temp: 4.78, Avg Humidity: 22.63
Gateway: without-deal, Avg Temp: 38.21, Avg Humidity: 88.44
Gateway: reduce-test-arm-tax, Avg Temp: 32.23, Avg Humidity: 13.84
Gateway: cause-wind-manage, Avg Temp: 3.87, Avg Humidity: 51.87
Gateway: shake-actually, Avg Temp: -9.60, Avg Humidity: 12.03
Gateway: even-positive-hand, Avg Temp: 40.81, Avg Humidity: 33.33
Gateway: same-most-from, Avg Temp: 34.08, Avg Humidity: 75.55
Gateway: executive-evidence, Avg Temp: 1.90, Avg Humidity: 49.23
Gateway: current-because, Avg Temp: 34.41, Avg Humidity: 32.57
Gateway: than-those-early, Avg Temp: 30.17, Avg Humidity: 65.96
Gateway: up-military-society, Avg Temp: 4.70, Avg Humidity: 48.21
Gateway: but-yeah-around, Avg Temp: 36.24, Avg Humidity: 54.98
Gateway: section-left-when, Avg Temp: 1.01, Avg Humidity: 54.04
Gateway: itself-win-military, Avg Temp: 31.94, Avg Humidity: 14.84
Gateway: our-question-floor, Avg Temp: 32.15, Avg Humidity: 39.04
Gateway: site-side-grow, Avg Temp: 48.14, Avg Humidity: 48.41
Gateway: happen-concern, Avg Temp: 19.28, Avg Humidity: 35.50
Gateway: several-paper-area, Avg Temp: 46.00, Avg Humidity: 79.48
Gateway: information-time, Avg Temp: 48.04, Avg Humidity: 69.03
Gateway: girl-manager, Avg Temp: 39.61, Avg Humidity: 62.64
Gateway: light-peace, Avg Temp: -9.91, Avg Humidity: 68.73
Gateway: evidence-watch-why, Avg Temp: -6.50, Avg Humidity: 23.14
Gateway: list-nice-see, Avg Temp: 0.91, Avg Humidity: 60.08
Gateway: word-account, Avg Temp: 9.70, Avg Humidity: 45.16
Gateway: ready-once-second, Avg Temp: 45.18, Avg Humidity: 23.86
Gateway: prevent-attorney, Avg Temp: -4.97, Avg Humidity: 37.53
Gateway: finally-seven-join, Avg Temp: 1.49, Avg Humidity: 20.65
Gateway: need-central-from, Avg Temp: 38.58, Avg Humidity: 57.54
Gateway: how-house-company, Avg Temp: 9.29, Avg Humidity: 79.74
Gateway: determine-effort, Avg Temp: -0.95, Avg Humidity: 45.46
Gateway: since-campaign-from, Avg Temp: -6.62, Avg Humidity: 18.88
Gateway: over-about-couple, Avg Temp: 44.30, Avg Humidity: 70.82
Gateway: subject-only-eat, Avg Temp: 17.81, Avg Humidity: 28.36
Gateway: measure-buy-may, Avg Temp: 27.57, Avg Humidity: 23.88
Gateway: individual-become, Avg Temp: 49.23, Avg Humidity: 85.74
Gateway: including-may, Avg Temp: 38.44, Avg Humidity: 22.07
Gateway: computer-scientist, Avg Temp: -9.43, Avg Humidity: 71.88
Gateway: able-finish-threat, Avg Temp: 8.46, Avg Humidity: 25.72
Gateway: may-oil-every, Avg Temp: 15.02, Avg Humidity: 68.12
Gateway: deal-kid-design, Avg Temp: 39.03, Avg Humidity: 46.47
Gateway: audience-which-yet, Avg Temp: 0.22, Avg Humidity: 75.11
Gateway: him-air-maybe, Avg Temp: 47.85, Avg Humidity: 58.23
Gateway: fill-big-card-range, Avg Temp: -2.78, Avg Humidity: 88.32
Gateway: president-build-me, Avg Temp: 44.70, Avg Humidity: 74.28
Gateway: increase-wrong-fire, Avg Temp: 4.99, Avg Humidity: 21.17
Gateway: type-product, Avg Temp: 24.29, Avg Humidity: 26.58
Gateway: budget-arrive, Avg Temp: 36.00, Avg Humidity: 32.77
Gateway: yes-direction, Avg Temp: 10.00, Avg Humidity: 30.82
Gateway: born-society, Avg Temp: 25.08, Avg Humidity: 82.53
Gateway: beautiful-pick-fund, Avg Temp: 21.27, Avg Humidity: 74.49
